,sort_name,df_min,df_max,appearances,review,name,address,pro_score,sentiment
112,luigis pizzeria,222,222,1,"This Upper East Side mainstay has been pumping out the slices since 1997, offering a sauce slightly sweeter and chunkier than average. Our favorite is the grandma, a square slice in the upside down formation, meaning that the cheese is on the bottom and the sauce on top, so that the imperially thin crust doesn’t get soggy. That the crust is also on the thin size for a square slice, and a little bit oily, is an added bonus, and so is the shredded basil sprinkled on top. ",Luigi's Pizzeria,"1701 1st Avenue, New York, NY 10128",0.45602605863192175,0.7459580749268995
113,lunetta,223,223,1,"The stylish pizzeria (the name means “Little Moon”) is on the verge of becoming an actual restaurant, but the emphasis remains staunchly on some excellent pies, with a sauce perhaps a little sweeter than usual. The margherita is a round, thin crust pie with fresh mozzarella and little wads of crushed tomatoes here and there, creating a prodigious mouth wallop. A larger than usual roster of apps, subs, hamburgers, heros, and cheesesteaks provide enhanced dinner options. ",Lunetta,"245 3rd Ave, New York, NY 10010",0.45602605863192175,0.8599191790629543
114,luzzos,224,224,1,"Ovest Pizzoteca, Da Mikele, Luzzo’s and Luzzo’s BK: you can’t throw a stone without hitting one of the talented Michele Iuliano’s restaurants these days, and for good reason. Nestled in the East Village, this original outpost of Luzzo’s boasts a colorful exterior, treasured, century-old coal-burning oven that pushes out not only ace pizzas, but also Neapolitan classics like frusta, la quadrata and pizza fritta. The term pizzeria just doesn’t do this lovely spot justice. And judging by the patient crowds lined up outside, the neighborhood knows a good thing when they see it. Once inside, guests are treated to a charming interior of exposed brick, mismatched chairs and kitschy knickknacks. Soft Italian music plays beneath the happy hum of friends and family chatting.",Luzzo’s,,0.34201954397394124,0.9820110818961291
115,mamas too,225,229,5,"Mama's Too opened on Broadway and West 105th Street in late 2017, having spun off of longtime Upper West Side pizzeria Mama's, just around the corner. Too often, the story of decades-old mom-and-pop restaurants ends with the youngest generation ""moving up"" in the world and out of the business. But there's a great counter-narrative to that, and it's one where fresh blood pulls the business into the present while honoring the past. We've seen it here in NYC with Wilson Tang at Nom Wah Tea Parlor, Niki Russ Federman at Russ & Daughters, and Jason Wang of Xi'an Famous Foods. For Mama's Too, owner/operator Frank Tuttolomondo built on foundations established at Mama's, where the pizza is standard slice-joint fare. ""I knew I couldn't change the pizza there, or regulars would be upset,"" Frank said. ""So I opened this place."" When it's available and fresh from the oven, the pizza at Mama's Too is fantastic. (The small shop has trouble keeping up with demand, and the slices can suffer on reheat.) The squares are superb, with a satisfying crisp-chewy quality and a nice open crumb that still stands up to the substantial toppings. Tuttolomondo says he's inspired by noted Roman pizza-maker Gabriele Bonci—but that he's trying to bridge the gap between Roman-style pizza al taglio (that is, pizza ""by the cut"") and New York squares. Gap bridged. The regular slice employs some Di Fara–esque touches. Like Dom De Marco, Tuttolomondo does the whole post-oven cheese-grating-and-tons-of-basil thing. The crust is made from a 70% hydrated dough, leading to a very open, airy crumb and a light, crisp bite. As a general rule, most pizza is best eaten straight out of the oven, but we strongly recommend eating a regular slice from Mama's Too as fresh from the oven as possible; it loses some of its ethereal qualities when you let it sit.The regular “house slice” combines the darkly caramelized, bready crust and pure-tomato flavor of a Neapolitan pie with the grab-and-go portability of a streetcorner slice. The squares, meanwhile, merge the Sicilian, Detroit, and Roman pizza al taglio styles in one dark, crunchy whole, fringed with what is known as a “frico crust” — the edges of browned cheese where the dough meets the pan. The pepperoni square in particular is an unstoppable force. Mama’s Too makes experimental pizza for the people.Mama’s Too is a tiny pizza place on the Upper West Side, and it’s where you’ll find some of the best slices in the area. Get the square pepperoni one.A typical NYC slice shop has a few basic elements. A counter and a glass case, for example, as well an area where you can spritz your pizza with chili flakes and burn your mouth on some cheese that’s only slightly hotter than the Earth’s core (if you’re an impatient kind of person). Mama’s Too has all of these things - but it isn’t your average counter-service pizza place.Pizza, Quick Eats, Mama’s Too is one of the new crop of neighborhood pizzerias that have reconfigured their slices to be more modern and innovative than that of the classic neighborhood pizzeria. (The place is related to a more conventional pizzeria on Amsterdam Avenue.) This is all to the good, you’ll realize as you survey the collection of square pies with rich crusts and atypical toppings. The pepperoni slice uses a small-bore sausage packed tightly on the slice, weeping paprika oil down on the crust. Other pies include caramelized onion and mushroom, and zucchini with Kalamata olives. In a review last year, Times restaurant critic Pete Wells wrote that Mama’s Too “combines some of the most appealing elements of a Neapolitan pie with the most satisfying aspects of the archetypal product sold on paper plates from sidewalk windows.” Even better, it’s got roni cups.",Mama's Too!,"2750 Broadway, New York, NY 10025",1.58957654723127,0.9842021191397949
116,mani in pasta,230,230,1,"Chef-owner Giuseppe Manco turns out critically lauded Roman-style pies at this East Village place which debuted at the beginning of 2018. He focuses on Rome’s teglia, a.k.a. pan pizza with an airy crust, made from dough that undergoes a lengthy fermentation period — go for the carbonara version. Pastas and pinsas, or thin flatbreads made from the same dough, are also on offer. The snug, simple space with painted brick walls and exposed bulbs houses a handful of tables; there’s also a Midtown East location with more bare-bones decor, better suited for a takeout slice or two.",Mani in Pasta,"245 E 14th St, New York, NY 10003",0.260586319218241,0.19566542362849745
117,marabella,231,231,1,"Debuting in 1984 and occupying a distinctive corner location in Sunnyside, Marabella is proud of its Sicilian roots, as evidenced by the choice of art and maps on the walls. The ovens stand right inside the front door to make it easy to dash in and out for a slice. You should look no further than the fine grandma slice, which is square and thin-crusted, sporting fresh mozzarella and thick, sweet tomato sauce. Unique to Marabella are sandwiches (the pizzeria calls focaccia) made by splitting a thick wedge of pizza and piling it with chicken parm and other fillings.",Marabella,"4107 Greenpoint Ave, Sunnyside, NY 11104",0.45602605863192175,0.8306982286895241
118,marinara pizza,232,232,1,"Marinara is one of the better places to get a slice on the Upper East Side. Marinara might just seem like an average slice place - but it’s one of the best spots for pizza on the Upper East Side, and there a couple of tables where you can hang out and eat. They typically have a bunch of different square and round slices like pesto and buffalo chicken, but we tend to keep it simple and go for the pepperoni. And if you’re with someone who doesn’t consider pizza a complete meal, there’s also some bigger stuff like pasta and chicken parm.American, Pizza, Italian, Casual Weeknight Dinner, Dining Solo, ",Marinara Pizza,,0.016286644951140017,0.796103752866825
119,marinara pizza midtown east,233,233,1,"The Midtown East location of Marinara Pizza serves a big variety of round and square pies, and is a good option for a quick lunch or delivery.Depending on where you work, you’ll either find it a joyous coincidence or a confusing inconvenience that the two best pizza spots in Midtown are both located at 54th and 1st. Two doors down from Sofia Pizza Shoppe is Marinara Pizza, which is much bigger and works if you want to dine in. They serve the same square and round pies as at the original location on the Upper East Side, like the thick, doughy Sicilian slice topped with oil-filled spicy pepperoni, and the margarita that’s thin, but sticks out straight as a board when you pick it up.Pizza, Midtown, Delivery, Lunch, Quick Eats, Serious Take-Out Operation, ",Marinara Pizza Midtown East,,0.016286644951140017,0.8434922783214954
120,marios,234,234,1,"While most of the neighborhood pizzerias we extol originated in the ’50s, ’60s, and ’70s, when the neighborhood pizza parlor movement was at its height, here’s a new one — founded in 2015 in Jackson Heights — that proves the formula is still sound. The inside is brightly lit, the counter is at the rear of the space, and one wall is decorated with white paper plates painted by young Mario’s fans. Garlic knots and grandma slices are better than most, but the plain cheese slice is the real triumph here, more thin crusted than most, with a thick coating of slightly sweet and herby tomato sauce painted on the crust, and an average amount of cheese. A great slice to eat while walking down the street, not too messy.",Mario's,"77-09 37th Ave, Jackson Heights, NY 11372",0.45602605863192175,0.8342936124641978
121,marios restaurant,235,235,1," At this fifth-generation red sauce joint established in 1919, the pizza is its ""best kept secret,"" according to co-owner Regina Migliucci. It's hidden on the restaurant's dinner menu, among heftier Neapolitan fare like veal marsala and gamberetti fra diavolo, as an antipasto. (You can also order it to go or at lunchtime.) Mario's plain margherita pie boasts a thicker, crispier crust than the standard Neapolitan kind -- in part because it's cooked at lower temperatures in a gas oven, rather than a wood-fired one. The very bottom has an almost woodsy taste and grainy texture, from particles of high-gluten flour. Migliucci's family keeps the toppings simple: crushed Italian plum tomatoes, salt, basil leaves and square slices of a house-made ""loaf"" mozzarella that blisters handsomely when cooked. (""It's not that shredded plastic-y stuff,"" said Migliucci, 55, casting shade on the New York-style slice.) The clan saves the embellishment for Mario's kitschy but charming dining room décor: Italian landscapes and still lifes painted in oil, Greek columns and pint-sized statuary, and white brick walls. ",Mario's Restaurant,342 Arthur Ave.,0.04885993485342016,0.8811327918133892
122,marta,236,239,4,"NoneDanny Meyer’s first pizza restaurant serves standout, ultra-thin crust Roman-style pizzas in a sleek space inside the Redbury hotel. The crunchy pies — try the margherita, mushroom, and Carbonara with potato pies — are cooked for two to three minutes at 700 degrees Fahrenheit, alongside a menu of grilled meats and seafood. Taking reservations up to 28 days in advance, Marta is especially good for groups,  though part of the dining room plus the entire bar and pizza counter take walk-ins.Pizza in a sterile Flatiron District hotel lobby just doesn’t feel like the Danny Meyer hospitality experience we’ve grown accustomed to. If you follow any of the food industry news sites out there, you’ve probably heard all about this “white hot” “blockbuster” of an opening. Blockbuster? Eh, more like the restaurant equivalent of Hollywood Video. Marta has got all the hits in stock, but the in-store experience just isn’t as hot.Pizza, Italian, Flatiron, Breakfast, Dining Solo, Eating At The Bar, Lunch, Private Dining, Vegetarians, You'll only find suuuper thin crust here. It's not a bad thing. That means there's always room for more.",Marta,"29 East 29th Street, New York, NY, 10016",1.5114006514657976,0.8462980486707496
123,massoni,240,240,1,"Located in the Arlo Nomad Hotel, Massoni pairs roni cups with pickled peppers and honey on its Detroit-style pizza. Get it by the pie at the restaurant or by the slice at the takeaway up front, Bodega by Massoni. ",Massoni,"11 E 31st St, New York, NY 10016",0.260586319218241,0.056920987641042656
124,milkflower,241,243,3,"Milkflower is more than an Astoria pizzeria; it's a gallery where everything is art and it's all on display. From the imported wood-fired brick oven to the brightly-lit dining area to the garden out back, and, finally, the pièce de résistance: the pizza. The “milk flower” is made in house and featured on the egg-and-Brussel-sprout-infused Van Dammer. Expect a well-prepared, oven-kissed piece of art every time that is almost too beautiful to eat.Personal Van DammerMilkflower is a neighborhood Italian place in Astoria where you can grab a Swiss chard caesar and a pizza with clams (called the Wu Tang Clam).If you live in Astoria or LIC, Milkflower should be on your radar. And even if you don’t live over there, it’s a good spot to know about. It’s a neighborhood place, and it’s both casual and affordable enough for a weeknight dinner, but they serve the sort of food that you’ll look forward to eating on a weekend. Get a pizza with honey and sopressata, or try the one called the “Van Dammer” if you’re a fan of brussels sprouts and you want something that tastes equal parts healthy and unhealthy. They serve the same menu all day, so you’ll always have plenty of pizzas to choose from, along with a few pastas, salads, and small plates.Pizza, Casual Weeknight Dinner, First/Early in the Game Dates, None",Milkflower,"34-12 31st Ave (btwn 34th & 35th St), Astoria, NY",1.1530944625407162,0.8831711395800969
125,mona lisa,244,244,1," In the heart of Annadale Road's commercial strip you'll find Mona Lisa, a hybrid between a typical slice joint and a specialty pizza spot. Among the offerings are the borough's best buffalo chicken pizza and owner Leonardo Giordano's ""Gold Medal Pie"" (pictured), with mushrooms, sun-dried tomatoes and rosemary in a cognac sauce, placed atop a thin spread of tomato sauce and then finished with fresh arugula, shaved Parmigiano-Reggiano, speck and truffle oil. It's so-named because it has won Giordano, a member of the U.S. Pizza Team who competes nationally and in Italy, plenty of top prizes. ""My magic word is one: creativity. And quality comes with that,"" Giordano said. ""When you create something that is unique, then people don't mind to pay the extra dollar. They know it's unique. I feel like it's a custom pizza for every customer."" ",Mona Lisa,839 Annadale Rd.,0.09771986970684038,0.9371009446210526
126,montes,245,245,1," Monte's claims to be the oldest Italian restaurant in Brooklyn, though it did have a bit of a hiatus. It first opened in 1906 as Angelo's Tavern, served as a speakeasy during Prohibition and was revamped into Monte's Venetian Room in the 1930s, going on to draw a Rat Pack clientele for Italian-American food. But it abruptly closed in 2008. It reopened in 2011 under new ownership, the Venetian part of the name (and the murals that went with it) were ditched, and the menu was tweaked to focus less on chicken parm and more on authentic Neapolitan dishes -- among them, pizza. The pizzas at Monte's are oblong, served on boards, available in 12-inch or ""Metropolitan"" size (best described as really big), and deliver on the promise of a Neapolitan pie, with a puffy but crispy crust. And then there are the toppings. The Margherita pie has mozzarella di bufala; the Reale has tomato, mozzarella, fried eggplant, prosciutto and basil; and the Salsiccia has tomato, mozzarella, sausage and red onion. All are winners. The restaurant is more under the radar than some spots on this list, with a vibe that's way more old-school Brooklyn than hipster, but it's worth a little trip back in time the next time you're in Gowanus to play shuffleboard. ",Monte's,451 Carroll St.,0.0,0.8725048010973935
127,motorino,246,252,7," Motorino has gone worldwide, but it was a bit of a revelation when it first opened in Williamsburg in 2008. In 2010, Sam Sifton of The New York Times declared that it served ""the city's best pizza"" -- a wood-fired Neapolitan pie that he deemed delicious hot out of the oven or cold after sitting a few minutes. Start with a Margherita pie: fior di latte, basil, pecorino, olive oil and sea salt. Or upgrade to the Dom Dom: buffalo mozzarella, primo sale (a sheep's cheese) and parmigiano. Or go in an entirely different direction, with white pies showered with Brussels sprouts and pancetta or bresaola and baby kale. Come with me away from the lower half of Manhattan for a sec, will you? Motorino's pizza is like all girls next door in every movie ever: She's always been there, right in front of you, but you never realized how perfect she was for you until you took a bite took the time to get to know her ... or whatever.From Brooklyn to the East Village, and now back to Brooklyn, Motorino is one of the old guys these days, but it’s still one of the best. The Spicy Sopressata pie would be on our list of best pies anywhere, let alone Brooklyn. Brussels sprouts pie isn’t far behind.Motorino isn't the best pizza in New York City, but it is one of our most frequented pizza joints in town.There's an old saying that refers to conversational etiquette in social
situations, and it goes something like this: ""Never discuss religion and
politics.""Pizza, Casual Weeknight Dinner, Impressing Out of Towners, Serious Take-Out Operation, There’s an UWS outpost of the excellent pizza place that Mathieu Palombino opened up in the East Village in 2016, which serves up the same airy Neapolitan pies in Williamsburg, too; there are also a handful of locations in Asia. The soppressata and Brussels sprouts pies are highlights, and aside from pizza, there are apps like meatballs, baked clams, and roasted artichoke on offer.NoneMotorino serves excellent Neapolitan-style pizza at its locations in the East Village, Upper West Side, and Williamsburg, Brooklyn. All three outposts are popular, so waits are common in the evening and on weekends. The pizzas are on the smaller size, but that offers the opportunity to sample several when you dine with even a small group. In addition to the classic choices, they have some standout specialty options, too; one pie stars Brussels sprouts, for instance, while another comes topped with white anchovies.",Motorino Pizzeria Napoletana,"349 E 12th St, New York, NY 10003-7266, USA",2.407166123778501,0.9834714116630106
128,mr. phils pizza,253,253,1,"The upside-down Sicilian is star of the show at this classic Dyker Heights pizzeria (established in the ‘90s), which is more glitzy and comfortable than its brethren along New Utrecht Avenue, an ancient Dutch thoroughfare that dates to the 17th century. The slice in question is square, thinner, and crisper than most Sicilians, with the mozzarella next to the crust; the rich, thick, sweet tomato sauce on top of that; and a scatter of parmesan on top for enhanced saltiness and cheesiness. The garlic knots are especially good and so are the outsize, deep-fried rice balls, once again demonstrating Sicilian heritage of this excellent place. ",Mr. Phil's Pizza,"7212 New Utrecht Ave, Brooklyn, NY 11228",0.45602605863192175,0.9113443959100268
129,my little pizzeria,254,254,1,"What pizza parlor boasts outdoor seating in the back? This one in downtown Brooklyn does, and also a large dining room perfect for accommodating lunchtime crowds. The supreme slice is the one to get, with an unusually thin crust for a fresh mozzarella slice, browned more than most and hence crisp. The cheese is cooked a little more, too. This is an atypical take on a classic slice, and six or seven more slices are commonly available at any given time.",My Little Pizzeria,"114 Court St, Brooklyn, NY 11201",0.45602605863192175,0.7806591234629022
130,my pie pizzeria romana,255,255,1,"Like Mama's Too, My Pie Pizzeria Romana takes inspiration from revered pizza-maker Gabriele Bonci, who is behind Pizzarium in Rome. When My Pie first opened in its original spot in 2013, astute pizzaheads would have noticed a Bonci cookbook on proud display, alongside a wood pizza peel bearing the mark of Bonci. For the casual eater of pizza, we'll stress that Bonci is an outsize figure in the world of pizza, and when a spot can claim a connection, pizza nerds sit up and listen. It turns out that the two brothers who opened My Pie, Michael and John Ozger, learned from Bonci himself, and now turn out medium-thick, crisp, and light squares topped with good-quality organic ingredients in an unsuspecting part of Midtown. The pizzas are served al taglio out of large trays displayed behind glass, and they bear an abundance of toppings.  My Pie's bready slices would be a fantastic find anywhere, but in its original location on Lexington and 57th, they're a godsend. They've since added a second location on Amsterdam and 72nd on the Upper West Side, which also needed something like this.",My Pie Pizzeria Romana,690 Lexington Avenue,0.260586319218241,0.944548069744937
131,napolis best pizza,256,256,1,"What a charming name! With a tip of the hat to Naples, this tiny pizzeria across the street from Tremont Park is usually thronged with locals enjoying the neighborhood’s best pizza. And this place doesn’t doll it up, either. There are two choices: a plain cheese wedge and a square, extra-thick Sicilian, unless you want pepperoni to be strewn across the top of your slice as an afterthought. The crust is the thing here, beautifully browned, with a little more dough around the circumference than you really need, in order to flaunt the crust’s excellence. And every morsel of crust gets eaten. Astonishingly, a whole 14-inch round pie can be had for $5.50.",Napoli's Best Pizza,"521 E Tremont Ave, Bronx, NY 10457",0.45602605863192175,0.9258283776673639
132,new park pizza,257,258,2,"We struggled with including New Park because it can be inconsistent, and because you have to ask for it well-done if it's to approach its potential greatness. But when it's on, it's so on. The regular slice is the thing to get, cooked in an old brick-lined oven that's got, like, a flamethrower inside. Scott thinks it used to be a coal oven that was just repurposed. They do this thing where they throw salt on the floor of the oven every hour or two, and when you get a just-salted slice? Perfect. It's the little quirks that make the difference here.For 62 years, New Park has been a trusted pit stop on the road to Rockaway Beach. That’s not sand on the bottom of the crust, it’s salt, tossed into the brick oven to keep pies from sticking. Even if you don’t taste salt, you’ll notice the reliable crackle.",New Park Pizza,"156-71 Cross Bay Boulevard (157th Avenue), Howard Beach, Queens",0.5863192182410422,0.5654053286951292
133,nicks pizza,259,262,4,"This old favorite - which only recently started delivering after years of not doing so (probably because of all the stepped up competition) - has one of the best pepperoni pizzas I've ever eaten.While many New Yorkers venture to the boroughs beyond Manhattan in search of the city’s best pizza, they can save a trip out to Queens since the famous Nick’s Pizza of Forest Hills has a location on the Upper East Side, too. Their pizzas are uniformly excellent—a crispy crust, gooey mozzarella cheese, tangy marinara sauce, and a touch of fresh basil that completes their mouthwatering pies. You can choose from some two dozen additional toppings, too. But Nick’s is about more than just pizza. Start your meal with their arugula salad with roasted peppers, sun-dried tomato, and honey-mustard vinaigrette, then finish it off with one of their renowned cannolis.Nick’s is a friendly sit-down pizza place in Forest Hills with thin-crust pies and vinyl booths. If you’re looking for pizza in Forest Hills, go to Nick’s. It’s a neighborhood spot with formica tables and vinyl booths, and it serves crispy thin-crust pies topped with fresh mozzarella. You can also get flattened calzones that are sort of like big grilled cheese sandwiches, and you definitely want one of those in addition to your pizza. Share everything with a group (they don’t do slices).Pizza, Forest Hills, Casual Weeknight Dinner, This Forest Hills gem has been tossing great, expertly charred pizzas with a tangy sauce, lots of fresh mozzarella, and ample sliced-up basil since 1993. It’s superb unadorned, or with some prosciutto and mushrooms on top. The light-filled space with pressed-tin ceilings is more upscale that the average corner joint, but welcoming and unfussy.",Nick's Pizza,"108-26 Ascan Ave, Forest Hills, NY 11375",1.0586319218241038,0.9860304711141193
134,not rays pizza,263,263,1,"Making fun of the Famous Ray's and its imitators, Not Ray's is a normal neighborhood pizza parlor in a memorable, wedge-shaped space right on Fulton Street. The slice has a narrow ""bone"" (the bare circumference of the pie), the cheese is modestly applied, and the tomato sauce piquant and somewhat sweet. The slice is a little gloppier than usual and a molten cheese-sauce hybrid spills over the sides. Dying for novelty? Try the Buffalo chicken or Caesar salad pies.",Not Ray's Pizza,"694 Fulton St, Brooklyn, NY 11217",0.45602605863192175,0.16987677765818382
135,numero 28,264,264,1,This newcomer on Restaurant Row in Forest Hills has sensational pizza offerings.,Numero 28,,0.14657980456026048,0.056920987641042656
136,nunzios,265,266,2,"Despite the old admonition about judging a book by its cover, sometimes you really can look at a slice and not want any part of it. One tell is seeing a slice absolutely blanketed in cheese. That's not the kind of slice Nunzio's serves out in Staten Island. Here, little islands of cheese seem to float on a sea of basil-laced sauce, all atop a perfectly crisp-pliant crust. Many of Staten Island's great pizzas are available as pies only, but for a solid slice joint, head to Nunzio's. In a city increasingly full of fancy pizzas, this squat, square building on busy Hylan Boulevard is home to a lovely but straightforward New York slice: a tangy-but-a-little-sweet sauce, plenty of cheese, a little bit of basil atop a thin-but-not-too-thin crust. It's saucy, with just enough gooey mozzarella to keep things in check. It's simple, but there's a reason that simple formula is the base of a good pizza. ",Nunzio's,2155 Hylan Blvd.,0.35830618892508137,0.9513198495979877
137,ny pizza suprema,267,269,3,"Located directly southwest of Penn Station since 1964, NY Pizza Suprema is undoubtedly one of the most celebrated neighborhood pizzerias in Manhattan. The lavish display of pies under glass right inside the front entrance provides a beguiling dilemma, but we generally spring for any of the Sicilian slices, which have a bit of oil in the dough and are thus crunchier than most. The sausage Sicilian is particularly dope, miring shavings of good fennel sausage in a profuse floe of cheese. Open until midnight, seven days.After leaving the family business to work in law, Joe Riggio eventually came back and took over Suprema from his father, Sal. Located across from Penn Station and Madison Square Garden, the place is always busy, so you're all but guaranteed a fresh slice that hasn't been sitting. It's got a sweet sauce, but it's one satisfying slice nonetheless. If you're going to the Garden, this should be your pre- or post-game slice. If you get to Penn Station early, head here immediately. The regular slice is exemplary, but the upside-down Sicilian is on another level altogether. Super-fast and efficient service, and you can almost always find a seat.For those on the hunt for a seriously cheesy slice, head to Pizza Suprema. There, diners can dig into its famous white pizza, which comes topped with imported romano, ricotta and grande mozzarella cheesesCheese Topping",Pizza Suprema,413 8th Ave.,0.8143322475570032,0.9353336081701389
138,olgas,270,270,1,"Offering virtually no place to sit and eat, only a narrow shelf that runs around the room, Olga’s on Upper Broadway in Hamilton Heights is nevertheless mobbed during the day with neighborhood types, who use it as a sort of stand-up social club. The slice is uber-cheesy, the crust pale and doughy, the tomato sauce less profuse than usual, and yet it tastes fantastic, showing how a distinct point of view is always an asset to a great neighborhood pizzeria. ",Olga's ,"3409 Broadway, New York, NY 10031",0.45602605863192175,0.796103752866825
139,olio pizza e piu,271,271,1,"Olio Pizza e Piu managed to get one of the worst Infatuation ratings ever. Each pizza we ordered was a mess of rubbery cheese and crust – heavy, sloppy and unappetizing. Wow. What a disaster. We had heard mixed things about Olio Pizza e Piu from early online write-ups, but guess where we didn’t find any mixed opinions -inside the restaurant. This was one of the worst meals we’ve had in recent memory, and it wasn’t just us. The group sitting directly behind our table sent back pretty much everything they ate, and once they found out we sent food back ourselves, began using our discontent as an opportunity for class action complaining. The entire evening, we watched as waiters dispatched managers to various tables, each inexplicably with an iPad in hand. Please take this dish back, and no, I don’t want to play Scrabble. The only people that really seemed to be enjoying themselves was the table of 23 to our left, and they got dropped off in a school bus that has karaoke in it.Pizza, Italian, Wasting Your Time and Money, ",Olio Pizza e Piu,,0.052117263843648176,0.028618564323761527
140,ops,272,275,4,"A pizzeria in Bushwick run by Marie Tribouilloy, Mike Fadem and Gavin Compton (who, collectively pull experience from Achilles Heel, Estela  and Buvette) for a neighborhood joint serving up pies. At Ops, you’ll immediately be made to feel like a regular, even if it’s your first time through the door. And while you’ll certainly be there to fill up on one of our favorite pies, the Juno— with broccoli rabe, potatoes, provola and ricotta salata—it’s also one of the only pizzerias we head to for some of the county’s most exciting natural wines. The JunoOps is a pizza restaurant in Bushwick where you’ll want to become a regular even if you don’t live in the neighborhood.It doesn’t take much time living in New York City to realize that finding your own version of Cheers or Central Perk or Tom’s Restaurant or Bada Bing isn’t as easy as you might have hoped. The bartender friend who always comps your shots, the coffee guy who can always tell when you’re having a rough morning, or even the bodega cashier who’s memorized your drunk order so all you have to do is hand him your credit card and shamefully avoid eye contact - if you’ve achieved any of these situations, congratulations. You’re officially living out your very own New York City sitcom.Pizza, Birthdays, Casual Weeknight Dinner, Dining Solo, Eating At The Bar, First/Early in the Game Dates, Walk-Ins, The menu is compact and waits can be long at this Bushwick pizza spot, which serves distinctive, Neapolitan(ish) pies that haven’t gotten, but are certainly deserving of, the type of fanfare other places amass. Founders Mike Fadem, Marie Tribouilloy, and Gavin Compton are alums of Achilles Heel, Estela, and Buvette. The sourdough crust is the main draw here, using a custom flour blend that includes whole wheat from upstate New York and durum from Sicily. Try the basically perfect marinara pie, or the Pops, which features guanciale, onions, and pecorino. Unlike some of the pizza on this list, the stuff at Ops is the kind you want to take your time with - the crust alone is like a piece of buttery sourdough bread. But you’re not shoveling pizza into your mouth at a 9th birthday party before getting back in the pool, so the more moments you have with this pizza, the better. The Neapolitan pies are excellent, but our favorite thing here is the grandma pie, with housemade mozzarella, olives, basil, tomatoes, and a square crust that is thick enough to replace (and upgrade) the walls of your apartment.",Ops,"346 Himrod St, Brooklyn, NY 11237",1.6612377850162863,0.9895105754537158
141,original pizza,276,276,1,"Was the name, like Not Ray’s, created to thumb its nose at the once-mighty Ray’s Original chain? The pizza here is far better, with a thinner crust though still of the plain, old-fashioned slice sort. As in many neighborhood joints, the cheese is the thing — a lake of it, ramping up the protein component and the richness so that one slice is likely to do you for lunch. The location directly over the R train stop at Bay Ridge Avenue is a big asset.",Original Pizza,"6823 4th Ave, Brooklyn, NY 11220",0.45602605863192175,0.7567947004909903
142,osteria laguna,277,277,1,"Osteria Laguna is an Italian restaurant near Grand Central with enough space for a big group (or just you and some pizza and wine). Osteria Laguna is a solid, crowd-pleasing option within walking distance of Grand Central. You'll find pastas, pretty good thin-crust pizzas, and very rich polenta that's so cheesy it almost tastes like queso fundido - but also a space big enough to fit your entire extended family (including everyone’s SOs). If your group just includes you, a speck pizza, polenta with meatballs, and a glass of red wine, that’s cool too - you probably won’t be the only one in that situation.Pizza, Italian, Casual Weeknight Dinner, Dining Solo, Dinner with the Parents, Kids, ",Osteria Laguna,,0.25081433224755695,0.9557925722764123
143,otto,278,278,1,"The food at Otto isn't awful. Otto is, however, an overpriced tourist trap that seems to exist only to make Eataly look civilized and affordable. There was a time, back around 2003, when we thought that Otto was pretty exciting. I had just moved to the city, read the book Heat, and was all about eating Mario Batali food wherever I could. Remember that this was before a sentence like ""new restaurant from a Food Network celebrity"" meant sh*tty food at the hands of the Neelys. Otto was pretty good, pretty unique, and worth a trip every now and again when we felt like eating pizza that we didn't have to point at through a glass sneeze guard.Pizza, Italian, None, ",Otto,,0.1954397394136807,0.9335684952031751
144,ovest,279,279,1,"Ovest is one of the best options for pizza in Chelsea. Ovest is a neighborhood pizza spot on 27th street right by the High Line. This is the restaurant equivalent of someone who comes off as quiet and wholesome, but then turns out to be a little wild. There are candles, wood paneling, and a brick oven you can see from the dining room - but the ABBA pandora station plays loudly while groups of friends drink like they’re not planning on going to work tomorrow. This is one the best options in the neighborhood for Neapolitan pizza - just know that it’s not the place to bring someone for a quiet dinner where you talk about how much you like each other.Pizza, Italian, Big Groups, Date Night, ",Ovest,,0.016286644951140017,0.8889635244912716
145,p&m classic pizza and restaurant,280,280,1,"This two-decade old pizzeria bills itself as “A Taste of Italy in Harlem” — and it is indeed, with an extended menu of chicken, veal, seafood, and eggplant, with full dinners under $20. But most folks dash in for a slice, and the overwhelming favorite is the pepperoni, the sliced sausage vying with the profuse tomato sauce for pungency. Sicilian slices and calzones are also worth ordering.",P&M Classic Pizza and Restaurant,"1747 Amsterdam Ave, New York, NY 10031",0.45602605863192175,0.42805975781307976
146,parkside,281,281,1,"Parkside is a Neapolitan-style pizza spot in Prospect Lefferts Gardens with interesting cocktails and affordable wines.Parkside serves Neapolitan-style pizzas, along with a long list of house cocktails, a block southeast of Prospect Park. The bar is a good spot to dine solo or with a date, and the tables work for a small group hang. They serve some standard pizzas, as well as some more creative ones like miso cod with parmesan and the Sicilian pineapple with jalapenos - our favorite is the lamb sausage with mozzarella. They’re open till 2am everyday, so keep it in mind for a late-night drink option when you’ll probably end up wanting pizza anyway.Pizza, Italian, Date Night, Dining Solo, Late Night Eats, ",Parkside,,0.016286644951140017,0.8768963121703197
